jondoni,1163,LULW,70,YEP,68
skysage,1086,yyjL,103,KEKW,81
thadoril,955,catJAM,80,Hmm,77
happyfluffyteddy,904,KEKWiggle,73,PepeLaugh,43
lightsir_,890,KEKW,62,catJAM,53
arkem232,884,Kappa,26,YEP,24
dead_teeth,832,peepoPopcorn,184,catJAM,90
zay_ih,790,catJAM,109,PepeLaugh,56
ronzert,759,LUL,105,YEP,75
strawhatchase,710,catJAM,63,yyjRGB,52
kaitypure,700,catJAM,165,xar2EDM,126
루이스와이푸 haruiswaifu,556,Clap,23,MmmHmm,22
merbs,553,KEKW,45,Kekspin,22
michaeltth,553,ratJAM,28,Hmm,24
darkexile1,531,catJAM,80,yyjPopcorn,37
sdcowboy,529,KEKW,128,monkaW,31
roberthidalgoshy,526,LUL,173,yyjL,77
ashbash159,516,KEKW,34,ratJAM,23
caliboy666,507,LUL,24,PepeLaugh,21
mrelementdj,482,KEKW,52,YEP,23
